date,pm25,pm10,o3,no2,so2,co,AQI
2018-12-09,141,80,31,3,1,18,195
2018-12-10,161,78,46,1,1,18,211
2018-12-11,165,78,46,1,1,18,215
2018-12-14,165,67,28,2,5,21,215
2018-12-15,145,68,31,3,5,20,197
2018-12-16,152,65,29,6,4,18,202
2018-12-17,128,78,37,5,4,21,188
2018-12-18,161,81,39,3,11,26,211
2018-12-19,163,74,41,3,8,22,213
2018-12-20,156,74,40,3,12,24,206
2018-12-21,157,76,35,3,12,25,207
2018-12-22,154,47,27,2,7,22,204
2018-12-23,99,51,21,4,8,25,173
2018-12-24,110,44,29,1,4,22,179
2018-12-25,97,57,29,2,5,21,172
2018-12-26,125,63,40,2,8,25,186
2018-12-27,135,62,34,2,16,43,192
2018-12-28,130,65,36,3,8,49,189
2018-12-29,129,64,40,2,6,48,188
2018-12-30,128,64,40,2,6,48,188
2018-12-31,128,72,49,4,6,50,188
2019-01-01,139,72,49,4,6,3,194
2019-01-02,140,69,53,2,9,2,194
2019-01-03,134,63,48,4,10,2,191
2019-01-04,113,65,42,4,15,3,180
2019-01-05,115,62,43,3,15,3,181
2019-01-06,121,68,41,4,12,4,184
2019-01-07,136,69,44,2,10,3,192
2019-01-08,135,75,49,2,11,3,192
2019-01-09,145,69,51,4,8,1,197
2019-01-10,138,72,54,3,17,1,193
2019-01-11,153,74,40,3,7,1,203
2019-01-12,156,70,44,2,11,1,206
2019-01-13,146,78,43,4,10,1,197
2019-01-14,157,75,43,3,9,1,207
2019-01-15,156,81,56,4,10,1,206
2019-01-16,159,71,50,3,8,1,209
2019-01-17,147,82,45,5,7,2,198
2019-01-18,161,79,50,4,11,1,211
2019-01-19,160,83,50,4,9,9,210
2019-01-20,165,80,30,7,6,9,215
2019-01-21,161,70,43,6,4,8,211
2019-01-22,136,77,55,5,3,7,192
2019-01-23,156,77,45,4,3,8,206
2019-01-24,156,68,41,4,2,8,206
2019-01-25,142,63,36,3,2,6,195
2019-01-26,135,58,37,2,2,4,192
2019-01-27,112,58,36,2,1,6,180
2019-01-28,114,52,37,2,1,5,181
2019-01-29,99,55,39,3,2,6,173
2019-01-30,109,54,48,3,4,5,178
2019-01-31,110,58,45,3,4,5,179
2019-02-01,110,62,41,4,3,7,179
2019-02-02,127,54,38,2,1,5,187
2019-02-03,109,60,34,4,3,7,178
2019-02-04,120,57,32,4,2,8,184
2019-02-05,116,49,35,3,2,7,182
2019-02-06,106,59,37,3,3,6,177
2019-02-07,122,65,44,4,3,7,185
2019-02-08,144,64,33,3,2,6,196
2019-02-09,135,51,26,3,7,6,192
2019-02-10,104,51,28,3,2,7,176
2019-02-11,96,54,32,4,2,7,171
2019-02-12,102,59,39,4,2,7,175
2019-02-13,108,64,35,3,2,7,178
2019-02-14,122,62,38,3,2,7,185
2019-02-15,124,54,38,2,3,6,186
2019-02-16,103,55,31,2,3,5,175
2019-02-17,95,53,31,2,3,5,171
2019-02-18,92,50,24,2,3,5,169
2019-02-19,84,55,30,2,2,5,165
2019-02-20,102,45,31,2,3,4,175
2019-02-21,72,47,31,3,2,5,159
2019-02-22,76,51,39,2,1,4,161
2019-02-23,86,50,42,2,1,4,166
2019-02-24,84,56,40,2,2,5,165
2019-02-25,105,57,36,2,1,5,176
2019-02-26,114,56,31,2,1,5,181
2019-02-27,97,60,33,2,1,5,172
2019-02-28,91,67,33,2,1,4,169
2019-03-01,92,57,34,2,1,6,169
2019-03-02,89,53,37,1,1,5,168
2019-03-03,100,57,34,2,2,6,173
2019-03-04,122,51,31,1,2,5,185
2019-03-05,70,55,25,1,2,4,158
2019-03-06,65,112,30,2,2,5,155
2019-03-07,145,86,23,2,2,5,197
2019-03-08,111,65,29,1,2,5,179
2019-03-09,88,51,34,1,1,5,167
2019-03-10,80,58,31,2,4,6,163
2019-03-11,88,59,42,2,1,5,167
2019-03-12,104,71,48,3,2,7,176
2019-03-13,131,66,54,2,1,6,189
2019-03-14,115,65,45,3,1,7,181
2019-03-15,111,67,37,2,2,7,179
2019-03-16,121,66,39,2,1,7,184
2019-03-17,123,59,35,2,2,7,185
2019-03-18,100,55,29,3,3,7,173
2019-03-19,96,53,23,2,3,7,171
2019-03-20,92,51,33,2,3,7,169
2019-03-21,90,52,38,2,1,7,168
2019-03-22,94,55,32,2,1,6,170
2019-03-23,93,51,34,1,1,5,170
2019-03-24,85,55,31,2,1,7,166
2019-03-25,94,55,30,1,1,6,170
2019-03-26,90,56,36,2,1,4,168
2019-03-27,86,60,22,2,1,6,166
2019-03-28,101,60,29,1,1,6,174
2019-03-29,97,65,26,1,1,7,172
2019-03-30,99,63,24,1,1,6,173
2019-03-31,106,62,23,1,1,7,177
2019-04-01,109,64,23,1,1,6,178
2019-04-02,119,63,26,1,1,6,183
2019-04-03,113,45,27,2,1,6,180
2019-04-04,79,40,22,2,2,6,163
2019-04-05,65,44,23,2,2,6,155
2019-04-06,72,56,27,1,2,5,159
2019-04-07,87,58,24,1,1,5,167
2019-04-08,87,56,25,1,1,7,167
2019-04-09,88,53,34,1,1,7,167
2019-04-10,89,49,28,1,1,7,168
2019-04-11,82,55,29,1,1,7,164
2019-04-12,84,51,25,2,1,7,165
2019-04-13,86,52,27,2,1,7,166
2019-04-14,87,48,24,1,1,7,167
2019-04-15,83,46,21,3,1,8,165
2019-04-16,79,48,21,2,1,8,163
2019-04-17,84,40,26,2,1,7,165
2019-04-18,74,37,24,1,1,8,160
2019-04-19,66,30,24,1,1,8,156
2019-04-20,28,26,25,1,1,8,84
2019-04-21,28,37,24,1,1,8,84
2019-04-22,68,26,30,1,1,6,157
2019-04-23,51,36,31,2,1,7,139
2019-04-24,68,40,30,2,1,6,157
2019-04-25,73,44,28,2,1,7,160
2019-04-26,72,51,24,3,1,9,159
2019-04-27,77,52,19,1,1,8,162
2019-04-28,76,49,26,2,1,7,161
2019-04-29,75,43,26,2,1,8,161
2019-04-30,69,43,21,1,1,7,157
2019-05-01,68,66,16,1,1,9,157
2019-05-02,92,74,20,2,1,8,169
2019-05-03,98,73,22,1,1,7,172
2019-05-04,97,71,22,1,1,6,172
2019-05-05,89,78,19,1,1,8,168
2019-05-06,101,67,15,1,1,8,174
2019-05-07,85,56,16,1,1,8,166
2019-05-08,76,55,18,1,1,7,161
2019-05-09,72,49,25,2,1,7,159
2019-05-10,69,48,20,1,1,7,157
2019-05-11,65,44,21,1,1,6,155
2019-05-12,62,41,16,1,1,7,154
2019-05-13,56,40,16,1,1,8,151
2019-05-14,57,41,16,1,1,11,151
2019-05-15,57,51,23,1,1,21,151
2019-05-16,67,54,17,1,1,28,156
2019-05-17,70,54,17,1,1,28,158
2019-05-19,70,52,16,2,1,6,158
2019-05-20,86,59,20,2,1,6,166
2019-05-21,91,55,18,2,1,5,169
2019-05-22,82,46,13,1,2,5,164
2019-05-23,67,28,13,2,2,3,156
2019-05-24,55,27,21,5,2,5,149
2019-05-25,39,31,18,1,2,4,109
2019-05-26,49,46,16,1,2,4,134
2019-05-27,61,61,14,1,2,4,153
2019-05-28,86,60,25,1,2,4,166
2019-05-29,84,60,20,1,2,5,165
2019-05-30,78,43,15,1,2,5,162
2019-05-31,66,48,13,1,2,5,156
2019-06-01,71,32,14,1,2,3,159
2019-06-02,48,34,15,1,2,6,131
2019-06-03,43,27,16,1,2,5,119
2019-06-04,38,25,19,1,2,4,107
2019-06-05,42,40,14,1,1,6,117
2019-06-06,65,30,15,1,1,6,155
2019-06-07,50,23,15,1,1,6,136
2019-06-08,27,22,13,1,1,4,82
2019-06-09,32,21,16,1,1,4,92
2019-06-10,38,21,16,1,1,4,107
2019-06-17,38,48,8,1,2,4,107
2019-06-18,43,43,6,1,2,1,119
2019-06-19,41,21,10,1,2,5,114
2019-06-20,26,21,7,1,2,4,80
2019-06-21,26,21,6,1,2,7,80
2019-06-22,26,21,6,1,1,3,80
2019-06-23,26,21,6,1,1,5,80
2019-06-24,26,50,5,1,1,5,80
2019-06-25,85,49,6,1,1,5,166
2019-06-26,92,45,6,1,1,5,169
2019-06-27,50,41,6,1,1,4,136
2019-06-28,51,42,7,1,1,5,139
2019-06-29,59,36,6,1,1,5,152
2019-06-30,37,33,7,1,1,6,104
2019-07-01,37,40,7,1,1,6,104
2019-07-02,41,32,8,1,1,6,114
2019-07-03,50,25,14,1,1,5,136
2019-07-04,31,34,8,1,1,6,90
2019-07-05,51,43,6,1,1,6,139
2019-07-06,92,26,8,1,1,4,169
2019-07-07,59,24,8,1,1,5,152
2019-07-08,35,24,9,1,1,5,99
2019-07-09,44,30,10,1,1,5,121
2019-07-10,45,41,17,2,1,6,124
2019-07-11,72,45,12,1,1,6,159
2019-07-12,76,34,10,1,1,5,161
2019-07-13,65,25,11,1,1,4,155
2019-07-14,44,24,12,1,1,5,121
2019-07-15,37,26,13,1,1,5,104
2019-07-16,42,27,11,1,1,6,117
2019-07-17,35,19,11,1,1,4,99
2019-07-18,24,16,12,1,1,4,76
2019-07-19,34,19,14,1,1,5,97
2019-07-20,32,15,14,1,1,3,92
2019-07-21,28,19,14,1,1,4,84
2019-07-22,33,24,16,1,1,4,94
2019-07-23,41,27,15,1,1,5,114
2019-07-24,54,35,10,1,1,6,146
2019-07-25,59,32,10,1,1,7,152
2019-07-26,46,39,11,1,1,8,126
2019-07-27,66,40,10,1,1,7,156
2019-07-28,56,36,9,1,1,9,151
2019-07-29,50,33,9,1,1,14,136
2019-07-30,43,28,9,1,1,23,119
2019-07-31,46,31,9,1,1,5,126
2019-08-01,54,42,10,1,1,6,146
2019-08-02,38,39,8,1,1,7,107
2019-08-03,50,34,7,1,1,5,136
2019-08-04,43,43,9,1,1,5,119
